FEATURE	Total
tumor_var_count	92
tumor_depth	79
tumor_VAF	76
tumor_var_avg_basequality	71
tumor_var_num_minus_strand	70
tumor_var_num_plus_strand	69
tumor_var_avg_mapping_quality	65
tumor_ref_count	62
normal_depth	57
normal_VAF	56
normal_var_count	55
normal_ref_count	45
tumor_var_avg_se_mapping_quality	40
tumor_ref_avg_mapping_quality	34
tumor_other_bases_count	33
tumor_var_avg_num_mismaches_as_fraction	31
tumor_ref_avg_num_mismaches_as_fraction	29
tumor_ref_avg_basequality	28
normal_var_avg_basequality	26
normal_var_avg_mapping_quality	26
normal_ref_avg_basequality	23
normal_ref_avg_mapping_quality	23
tumor_var_avg_distance_to_effective_3p_end	23
tumor_ref_num_plus_strand	21
tumor_ref_num_minus_strand	19
normal_var_avg_pos_as_fraction	16
normal_ref_avg_se_mapping_quality	15
normal_var_avg_se_mapping_quality	15
tumor_ref_avg_se_mapping_quality	15
tumor_var_avg_sum_mismatch_qualities	15
normal_ref_num_minus_strand	14
normal_ref_num_plus_strand	14
normal_other_bases_count	13
normal_var_num_minus_strand	13
normal_var_num_plus_strand	13
tumor_var_avg_clipped_length	13
normal_ref_avg_num_mismaches_as_fraction	11
normal_var_avg_num_mismaches_as_fraction	11
normal_var_avg_sum_mismatch_qualities	11
reviewer_4	11
normal_ref_avg_sum_mismatch_qualities	10
tumor_ref_avg_sum_mismatch_qualities	10
tumor_var_avg_pos_as_fraction	10
normal_ref_num_q2_containing_reads	9
tumor_ref_num_q2_containing_reads	9
normal_ref_avg_distance_to_q2_start_in_q2_reads	8
tumor_ref_avg_distance_to_q2_start_in_q2_reads	8
normal_var_num_q2_containing_reads	7
tumor_var_num_q2_containing_reads	7
normal_var_avg_distance_to_q2_start_in_q2_reads	6
tumor_var_avg_distance_to_q2_start_in_q2_reads	6
normal_ref_avg_clipped_length	5
normal_ref_avg_distance_to_effective_3p_end	5
normal_var_avg_clipped_length	5
tumor_ref_avg_clipped_length	5
normal_var_avg_distance_to_effective_3p_end	4
tumor_ref_avg_distance_to_effective_3p_end	4
normal_ref_avg_pos_as_fraction	3
tumor_ref_avg_pos_as_fraction	3
disease_AML	2
disease_GST	2
disease_MPNST	2
disease_SCLC	2
disease_breast	2
disease_colorectal	2
disease_glioblastoma	2
disease_lymphoma	2
disease_melanoma	2
reviewer_1	1
reviewer_2	1
reviewer_3	1
TOTAL	
