	MR_Call	Classifier_Call	Type	Clin vs Non	Ambiguous	Fail	Somatic	Disease	Reviewer 1	Reviewer 2	Reviewer 3	Reviewer 4	Reviewer 5	Reviewer 6	Reviewer 7	Consensus
0	A	S	False Negative	Non Clinical	0.20155386600000003	0.017598985	0.780847132	breast	F	S	S	S	S	S	S	S
1	S	F	False Positive	Non Clinical	0.284525245	0.46399343	0.251481235	SCLC	A	A	F	S	S	F	F	No Consensus
2	A	S	False Negative	Clinical	0.494851559	0.0037869540000000004	0.501361549	SCLC	F	F	F	A	A	F	F	F
3	S	A	False Positive	Non Clinical	0.630793273	0.00401637	0.365190387	SCLC	S	S	S	S	S	S	S	S
4	S	A	False Positive	Non Clinical	0.558308244	0.16218935	0.279502332	AML	S	S	A	S	S	S	F	S
5	A	S	False Negative	Non Clinical	0.021038678999999998	4.5799999999999995e-05	0.978915513	SCLC	S	S	A	S	S	F	S	S
6	S	A	False Positive	Clinical	0.524770439	0.20440802	0.270821482	AML	A	S	S	A	A	S	S	No Consensus
7	S	F	False Positive	Non Clinical	0.149809673	0.5266795160000001	0.32351082600000003	SCLC	F	F	F	A	F	S	F	F
8	A	S	False Negative	Non Clinical	0.111323208	0.000557309	0.8881194590000001	SCLC	S	S	F	S	S	S	S	S
9	S	A	False Positive	Clinical	0.48698574299999997	0.02725805	0.485756129	breast	S	S	S	S	S	S	S	S
10	S	A	False Positive	Clinical	0.594594955	0.209890813	0.19551423199999998	AML	S	S	S	S	F	S	S	S
11	S	A	False Positive	Clinical	0.710948586	0.179746419	0.10930501699999999	AML	F	S	A	S	S	S	F	S
12	S	A	False Positive	Clinical	0.681208134	0.06497877099999999	0.253813058	AML	A	S	A	S	A	S	A	No Consensus
13	F	S	False Negative	Clinical	0.254084468	0.247104347	0.498811215	AML	S	S	S	S	S	S	S	S
14	A	S	False Negative	Clinical	0.323665798	0.00040025099999999996	0.675933957	SCLC	S	S	S	S	S	F	F	S
15	F	S	False Negative	Non Clinical	0.134696037	0.341654688	0.523649335	breast	S	S	A	S	S	F	S	S
16	A	S	False Negative	Non Clinical	0.227858201	0.01252995	0.759611845	breast	A	A	A	S	F	F	A	A
17	S	A	False Positive	Clinical	0.865748882	0.000375666	0.13387543	breast	S	S	F	S	S	S	S	S
18	S	A	False Positive	Clinical	0.880928457	0.0007372889999999999	0.118334189	breast	S	S	F	S	S	S	S	S
19	S	A	False Positive	Non Clinical	0.7297251220000001	0.000326016	0.26994881	SCLC	S	S	S	S	S	S	S	S
20	A	S	False Negative	Non Clinical	0.35772046399999996	0.18815431	0.454125315	AML	A	A	S	S	F	F	F	No Consensus
21	S	A	False Positive	Non Clinical	0.516869128	0.115843184	0.367287666	AML	A	A	F	S	S	F	F	No Consensus
22	A	S	False Negative	Non Clinical	0.24643199100000002	0.030976184	0.7225918170000001	AML	A	F	F	S	S	F	F	F
23	A	S	False Negative	Non Clinical	0.205963805	0.00035351	0.793682694	SCLC	A	A	S	S	A	S	F	No Consensus
24	S	A	False Positive	Non Clinical	0.9024212359999999	0.030816576000000002	0.06676217200000001	AML	S	S	A	S	S	S	F	S
25	A	S	False Negative	Non Clinical	0.08812122800000001	0.004161397	0.9077173470000001	breast	S	S	S	S	S	S	S	S
26	S	A	False Positive	Non Clinical	0.459534436	0.087565072	0.45290046899999997	SCLC	F	F	F	S	A	F	F	F
27	A	S	False Negative	Clinical	0.131742448	0.0052195309999999995	0.863038063	AML	S	F	S	S	F	S	S	S
28	S	A	False Positive	Clinical	0.538837671	0.057192087	0.40397024200000003	AML	S	S	S	S	S	S	A	S
29	S	A	False Positive	Non Clinical	0.648498535	0.006394431	0.34510701899999996	SCLC	S	S	S	S	S	S	S	S
30	S	A	False Positive	Non Clinical	0.558573365	0.000523314	0.440903306	SCLC	S	S	S	S	S	S	S	S
31	S	F	False Positive	Clinical	0.15732380699999998	0.83371526	0.008960945	AML	S	F	S	S	F	S	S	S
32	S	A	False Positive	Clinical	0.910139382	0.000261822	0.089598835	breast	F	A	F	S	A	S	F	No Consensus
33	S	A	False Positive	Clinical	0.465123385	0.38588064899999996	0.148995921	breast	F	A	F	S	A	F	F	F
34	S	F	False Positive	Clinical	0.11548200199999999	0.8837334509999999	0.0007845819999999999	AML	S	S	S	S	S	S	S	S
35	A	S	False Negative	Clinical	0.370853007	0.031453431000000004	0.597693563	breast	F	F	F	S	F	F	F	F
36	S	A	False Positive	Non Clinical	0.39864319600000003	0.22478818899999997	0.376568615	AML	S	S	S	S	S	S	S	S
37	A	S	False Negative	Clinical	0.369820207	0.018692013	0.611487806	breast	F	F	F	A	F	F	F	F
38	S	F	False Positive	Clinical	0.377849251	0.5392534729999999	0.082897209	AML	F	S	A	S	F	S	F	No Consensus
39	S	A	False Positive	Clinical	0.37434756799999996	0.31592738600000003	0.309725046	AML	F	S	F	S	S	S	F	No Consensus
40	A	S	False Negative	Clinical	0.223211661	0.310024917	0.466763496	AML	S	S	S	S	S	S	A	S
41	S	F	False Positive	Clinical	0.12255276	0.770248473	0.107198857	AML	A	S	A	S	S	S	S	S
42	A	S	False Negative	Non Clinical	0.272031933	0.019919321	0.708048701	melanoma	F	A	F	A	A	F	F	No Consensus
43	S	A	False Positive	Clinical	0.496684581	0.024346168999999997	0.478969276	breast	F	A	F	S	A	F	F	F
44	S	F	False Positive	Clinical	0.115355216	0.55407393	0.330570877	AML	A	F	A	S	S	S	A	No Consensus
45	S	A	False Positive	Clinical	0.542829394	0.024189666000000002	0.432980925	breast	F	A	F	S	F	F	F	F
46	S	A	False Positive	Clinical	0.528823674	0.196627781	0.27454862	breast	F	F	F	S	A	S	F	F
47	S	A	False Positive	Clinical	0.665611207	0.196844637	0.137544215	AML	S	S	A	S	S	S	F	S
48	A	S	False Negative	Clinical	0.12417426	0.003392633	0.8724330659999999	breast	F	F	F	S	S	S	A	No Consensus
49	S	F	False Positive	Clinical	0.141994923	0.553711236	0.304293782	AML	S	S	F	S	S	S	F	S
50	A	S	False Negative	Non Clinical	0.235963985	0.098911107	0.665124893	lymphoma	S	S	S	S	S	S	S	S
51	S	A	False Positive	Clinical	0.947325587	0.015080285	0.037594032	breast	F	A	F	S	S	F	S	No Consensus
52	A	S	False Negative	Clinical	0.29128623	0.049436413	0.65927732	breast	F	F	F	A	S	F	F	F
53	S	A	False Positive	Clinical	0.938974023	0.00116631	0.059859622	breast	F	F	F	S	F	S	A	F
54	A	S	False Negative	Non Clinical	0.046018860999999994	0.00237407	0.9516071079999999	AML	F	F	F	A	F	F	F	F
55	A	S	False Negative	Non Clinical	0.184693739	0.000191673	0.815114558	colorectal	A	F	S	S	S	S	A	S
56	A	S	False Negative	Clinical	0.18329189699999998	0.027639885	0.789068222	breast	S	S	S	S	A	S	S	S
57	A	S	False Negative	Non Clinical	0.333000332	0.0014201779999999998	0.665579438	SCLC	S	S	A	S	S	S	F	S
58	S	A	False Positive	Non Clinical	0.570924222	0.01393558	0.415140212	SCLC	S	S	A	S	S	F	S	S
59	A	S	False Negative	Non Clinical	0.18005299600000002	0.008328818	0.811618209	breast	A	S	S	S	A	F	S	S
60	S	A	False Positive	Clinical	0.6260421279999999	0.132053867	0.241903991	breast	F	F	F	S	A	S	F	F
61	S	A	False Positive	Clinical	0.624060273	0.102562808	0.27337691199999997	breast	F	A	F	S	F	F	F	F
62	A	S	False Negative	Clinical	0.22278350600000002	0.016227501999999998	0.760988951	breast	F	F	F	S	S	S	F	No Consensus
63	S	A	False Positive	Clinical	0.869073331	0.00024008400000000003	0.130686581	breast	F	F	A	S	A	S	F	No Consensus
64	S	A	False Positive	Clinical	0.575609386	0.199415818	0.22497485600000003	AML	A	S	S	S	S	S	A	S
65	A	S	False Negative	Clinical	0.24885132899999998	0.10711871099999999	0.644029975	glioblastoma	A	S	F	S	S	F	S	S
66	A	S	False Negative	Clinical	0.371339649	0.11823494	0.510425448	breast	A	S	A	A	A	F	A	A
67	A	S	False Negative	Clinical	0.303114414	0.091858484	0.6050271389999999	breast	A	F	A	S	A	F	F	No Consensus
68	A	S	False Negative	Clinical	0.38610547799999995	0.22214341199999998	0.39175111100000004	breast	F	F	F	F	F	F	A	F
